"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
-0.75111,0,-0.66018,6.4221e-06,-1.2846e-07,-0.005408
-0.75111,0,-0.66018,6.4221e-06,1.2846e-07,-0.005408
-0.8834,0,-0.46862,7.2695e-06,1.4541e-07,-0.0054091
-0.8834,0,-0.46862,7.2695e-06,-1.4541e-07,-0.0054091
-0.27147,0,-0.96245,2.9825e-06,-5.9658e-08,-0.005406
-0.27147,0,-0.96245,2.9825e-06,5.9658e-08,-0.005406
-0.32109,0,-0.94705,3.1155e-06,6.2318e-08,-0.005406
-0.3626,0,-0.93194,3.1155e-06,-6.2318e-08,-0.005406
-0.42398,0,-0.90567,4.154e-06,-8.3091e-08,-0.0054065
-0.41368,0,-0.91042,4.154e-06,8.3091e-08,-0.0054065
-0.56118,0,-0.82769,5.1925e-06,-1.0386e-07,-0.005407
-0.49887,0,-0.86668,5.1925e-06,1.0386e-07,-0.005407
-0.65564,0,-0.75508,6.231e-06,-1.2464e-07,-0.0054078
-0.65564,0,-0.75508,6.231e-06,1.2464e-07,-0.0054078
-0.2164,0,-0.9763,2.077e-06,-4.1546e-08,-0.0054057
-0.12284,0,-0.99243,1.0385e-06,-2.0773e-08,-0.0054055
-0.2164,0,-0.9763,2.077e-06,4.1546e-08,-0.0054057
-0.099901,0,-0.995,1.0385e-06,2.0773e-08,-0.0054055
0.24782,0,0.96881,2.5578e-05,-5.1162e-07,-0.0053579
0.24429,0,0.9697,2.5962e-05,5.1932e-07,-0.005358
0.24782,0,0.96881,2.5578e-05,5.1162e-07,-0.0053579
0.24001,0,0.97077,2.5962e-05,-5.1932e-07,-0.005358
0.22886,0,0.97346,2.7001e-05,-5.4009e-07,-0.0053583
0.23229,0,0.97265,2.7001e-05,5.4009e-07,-0.0053583
0.22431,0,0.97452,2.804e-05,-5.6087e-07,-0.0053585
0.22487,0,0.97439,2.804e-05,5.6087e-07,-0.0053585
0.22431,0,0.97452,2.9078e-05,-5.8164e-07,-0.0053588
0.22404,0,0.97458,2.9078e-05,5.8164e-07,-0.0053588
0.2334,0,0.97238,3.0117e-05,-6.0241e-07,-0.005359
0.229,0,0.97343,3.0117e-05,6.0241e-07,-0.005359
0.2487,0,0.96858,3.1155e-05,-6.2318e-07,-0.0053593
0.24325,0,0.96996,3.1155e-05,6.2318e-07,-0.0053593
0.26276,0,0.96486,3.2194e-05,6.4396e-07,-0.0053595
0.27136,0,0.96248,3.2194e-05,-6.4396e-07,-0.0053595
0.16951,0,0.98553,1.4955e-05,-2.9915e-07,-0.0053559
0.16701,0,0.98596,1.5577e-05,3.1159e-07,-0.0053561
0.16951,0,0.98553,1.4955e-05,2.9915e-07,-0.0053559
0.16577,0,0.98616,1.5577e-05,-3.1159e-07,-0.0053561
0.16654,0,0.98604,1.6616e-05,-3.3237e-07,-0.0053562
0.16553,0,0.9862,1.6616e-05,3.3237e-07,-0.0053562
0.16553,0,0.9862,1.7654e-05,-3.5314e-07,-0.0053564
0.16654,0,0.98604,1.7654e-05,3.5314e-07,-0.0053564
0.16797,0,0.98579,1.8693e-05,-3.7391e-07,-0.0053566
0.16625,0,0.98608,1.8693e-05,3.7391e-07,-0.0053566
0.17169,0,0.98515,1.9732e-05,-3.9468e-07,-0.0053568
0.17069,0,0.98532,1.9732e-05,3.9468e-07,-0.0053568
0.17811,0,0.98401,2.077e-05,-4.1546e-07,-0.0053569
0.1754,0,0.9845,2.077e-05,4.1546e-07,-0.0053569
0.18621,0,0.98251,2.1809e-05,-4.3623e-07,-0.0053571
0.18351,0,0.98302,2.1809e-05,4.3623e-07,-0.0053571
0.19933,0,0.97993,2.2847e-05,-4.57e-07,-0.0053573
0.19412,0,0.98098,2.2847e-05,4.57e-07,-0.0053573
0.2157,0,0.97646,2.3885e-05,-4.7778e-07,-0.0053575
0.21012,0,0.97768,2.3885e-05,4.7778e-07,-0.0053575
0.23419,0,0.97219,2.4924e-05,-4.9855e-07,-0.0053578
0.23419,0,0.97219,2.4924e-05,4.9855e-07,-0.0053578
0.025997,0,0.99966,2.077e-06,-4.1546e-08,-0.0053547
0.022414,0,0.99975,2.077e-06,4.1546e-08,-0.0053547
0.014496,0,0.99989,1.0385e-06,-2.0773e-08,-0.0053547
0.012329,0,0.99992,1.0385e-06,2.0773e-08,-0.0053547
0.039426,0,0.99922,3.1155e-06,-6.2318e-08,-0.0053548
0.034504,0,0.9994,3.1155e-06,6.2318e-08,-0.0053548
0.04971,0,0.99876,4.154e-06,-8.3091e-08,-0.0053548
0.047029,0,0.99889,4.154e-06,8.3091e-08,-0.0053548
0.062501,0,0.99804,5.1925e-06,-1.0386e-07,-0.0053549
0.057446,0,0.99835,5.1925e-06,1.0386e-07,-0.0053549
